8 17.5844000051 
12 26.3545551517 
16 35.1100628109 
24 52.5772822381 
32 69.9863501203 
48 104.6311890236 
64 139.0468758321 
96 207.1998275216 
128 274.4629790237 
192 406.3886860854 
256 534.9572293263 
384 782.5226899229 
512 1018.0985714721 
768 1456.6045924554 
1024 1856.3876760981 
1536 2558.6371892359 
2048 3155.4770155751 
3072 4115.4713512671 
4096 4853.8116505212 
6144 5914.9978151375 
8192 6640.9516092981 
12288 7570.0291032830 
16384 8139.3841504973 
24576 8801.3488996028 
32768 9174.4202967533 
49152 9580.5191460154 
65536 9797.3554499992 
98304 10024.2343799540 
131072 10141.6604074648 
196608 10261.8701512739 
262144 10323.0500345536 
393216 10384.9637854481 
