8 19.8821 17.5844
12 29.3634 26.9398
16 39.3182 35.7156
24 56.5195 50.2926
32 58.5868 44.7624
48 87.3025 66.6426
64 119.222 88.59
96 172.227 138.062
128 213.357 180.913
192 346.643 284.911
256 460.345 426.141
384 575.711 479.392
512 748.496 613.456
768 1029.4 865.873
1024 1317.79 1105.89
1536 1511.69 1334.7
2048 1852.95 1661.64
3072 2639.58 2405.65
4096 3064.62 2744.91
6144 4048.86 3414.54
8192 4724 3687.89
12288 5390.05 4423.02
16384 5617.08 4347.2
24576 6188.39 5448.67
32768 6425.95 5914.27
49152 6789.41 6521.18
65536 7956.2 6699.36
98304 9217.86 7494.93
131072 10595.2 8927.2
196608 10891 9659.78
262144 11260.4 9722.8
393216 11433.9 10463.4
524288 11528 10416.2
