16 1286.48 1014.22
24 1737.87 1720.24
32 2310.64 2286.88
48 3808.31 3550.56
64 5743.77 5150.87
96 8621.46 8464.27
128 11106.3 11428.7
192 17478.4 17311.8
256 32319.2 30394.2
384 48344.5 47309.9
512 56999.7 30206.1
768 85699.9 84489.9
1024 103267 97274.2
1536 133874 125885
2048 136830 138309
3072 160863 157489
4096 2544.42 2259.38
6144 2985.71 2726.67
8192 3355.93 3073.34
12288 3433.98 2789.48
16384 18981.6 11510.6
24576 21717.9 13568.8
